"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","10","2.6","1.6","+2"
"2",1,"Christian McCaffrey",SF,"RB1","1","15","3.3","1.9","0"
"3",1,"Justin Jefferson",MIN,"WR2","1","9","1.3","1.1","-2"
"4",1,"Tyreek Hill",MIA,"WR3","2","12","5.2","1.9","+3"
"5",1,"Cooper Kupp",LAR,"WR4","2","16","5.3","2.6","+1"
"6",2,"Travis Kelce",KC,"TE1","5","30","6.7","2.6","-1"
"7",2,"Austin Ekeler",LAC,"RB2","2","10","7.2","2.0","-3"
"8",2,"Stefon Diggs",BUF,"WR5","4","20","8.6","2.4","+2"
"9",2,"CeeDee Lamb",DAL,"WR6","4","24","10.7","3.0","+2"
"10",2,"Saquon Barkley",NYG,"RB3","3","25","11.8","3.6","-2"
"11",2,"Amon-Ra St. Brown",DET,"WR7","2","24","12.0","3.4","+7"
"12",2,"A.J. Brown",PHI,"WR8","5","32","12.5","3.3","0"
"13",2,"Davante Adams",LV,"WR9","5","32","12.6","3.9","0"
"14",3,"Bijan Robinson",ATL,"RB4","2","25","14.1","4.8","-5"
"15",3,"Garrett Wilson",NYJ,"WR10","8","32","14.9","4.0","+4"
"16",3,"Tony Pollard",DAL,"RB5","5","31","16.9","4.8","+1"
"17",3,"Nick Chubb",CLE,"RB6","6","28","18.3","5.2","-3"
"18",3,"Jaylen Waddle",MIA,"WR11","12","35","19.6","5.7","+6"
"19",3,"Derrick Henry",TEN,"RB7","7","37","21.8","5.0","-3"
"20",3,"Chris Olave",NO,"WR12","12","44","21.9","5.5","+9"
"21",4,"Jonathan Taylor",IND,"RB8","8","59","24.1","8.7","-1"
"22",4,"DeVonta Smith",PHI,"WR13","14","47","24.3","6.7","+3"
"23",4,"Josh Jacobs",LV,"RB9","12","85","25.4","9.8","-2"
"24",4,"Keenan Allen",LAC,"WR14","14","50","26.0","8.2","+19"
"25",4,"Patrick Mahomes II",KC,"QB1","19","45","27.2","4.8","-10"
"26",4,"Josh Allen",BUF,"QB2","20","45","27.8","4.3","-4"
"27",4,"Tee Higgins",CIN,"WR15","13","45","27.8","7.0","+3"
"28",4,"Jalen Hurts",PHI,"QB3","19","50","28.7","6.2","-5"
"29",4,"DK Metcalf",SEA,"WR16","14","51","29.8","7.6","+3"
"30",4,"Mark Andrews",BAL,"TE2","6","62","31.7","9.0","-4"
"31",4,"Rhamondre Stevenson",NE,"RB10","10","59","32.1","10.4","-4"
"32",4,"Joe Mixon",CIN,"RB11","15","77","34.5","12.6","+1"
"33",4,"Najee Harris",PIT,"RB12","17","85","36.3","11.5","-5"
"34",4,"Amari Cooper",CLE,"WR17","21","63","36.4","6.1","+7"
"35",5,"Calvin Ridley",JAC,"WR18","14","80","37.3","12.8","+5"
"36",5,"Travis Etienne Jr.",JAC,"RB13","17","80","41.2","12.5","-5"
"37",5,"Jahmyr Gibbs",DET,"RB14","15","93","41.7","15.6","-2"
"38",5,"Lamar Jackson",BAL,"QB4","24","78","42.6","10.5","-4"
"39",5,"Aaron Jones",GB,"RB15","21","78","43.0","12.2","-1"
"40",5,"Deebo Samuel",SF,"WR19","13","70","43.2","9.5","-1"
"41",5,"DeAndre Hopkins",TEN,"WR20","16","70","43.3","9.7","+10"
"42",5,"Chris Godwin",TB,"WR21","22","71","44.4","9.8","+27"
"43",5,"Jerry Jeudy",DEN,"WR22","32","71","45.0","8.5","+10"
"44",5,"Terry McLaurin",WAS,"WR23","20","66","45.8","7.8","+6"
"45",5,"DJ Moore",CHI,"WR24","28","72","46.1","8.8","+7"
"46",5,"Drake London",ATL,"WR25","32","70","46.9","8.6","+21"
"47",5,"Joe Burrow",CIN,"QB5","29","78","47.9","8.8","-11"
"48",5,"T.J. Hockenson",MIN,"TE3","27","97","51.6","12.7","-6"
"49",5,"Christian Watson",GB,"WR26","27","74","51.6","10.1","+6"
"50",5,"Diontae Johnson",PIT,"WR27","33","77","52.0","10.4","+29"
"51",6,"Justin Fields",CHI,"QB6","29","101","52.3","13.3","-7"
"52",6,"Breece Hall",NYJ,"RB16","18","96","53.3","18.5","-15"
"53",6,"Justin Herbert",LAC,"QB7","36","84","54.1","9.1","-7"
"54",6,"Tyler Lockett",SEA,"WR28","32","98","54.3","11.8","+19"
"55",6,"Mike Williams",LAC,"WR29","37","75","56.2","9.5","+3"
"56",6,"Brandon Aiyuk",SF,"WR30","34","109","56.4","11.7","+16"
"57",6,"Christian Kirk",JAC,"WR31","32","81","57.5","11.0","+19"
"58",6,"Michael Pittman Jr.",IND,"WR32","32","91","58.4","11.4","+22"
"59",6,"Marquise Brown",ARI,"WR33","34","86","59.5","10.9","+24"
"60",6,"Miles Sanders",CAR,"RB17","31","96","59.6","14.4","-12"
"61",6,"Kenneth Walker III",SEA,"RB18","28","96","60.2","15.3","-16"
"62",6,"Mike Evans",TB,"WR34","34","84","63.0","9.0","+9"
"63",6,"Alexander Mattison",MIN,"RB19","25","121","63.8","19.9","+2"
"64",6,"Dameon Pierce",HOU,"RB20","31","108","67.0","16.0","-17"
"65",6,"J.K. Dobbins",BAL,"RB21","29","96","67.3","16.2","+1"
"66",6,"Trevor Lawrence",JAC,"QB8","46","101","67.9","12.5","-10"
"67",6,"Darren Waller",NYG,"TE4","30","132","68.5","15.1","-13"
"68",6,"Cam Akers",LAR,"RB22","36","128","68.7","15.4","-7"
"69",6,"George Kittle",SF,"TE5","30","132","68.9","13.3","-20"
"70",6,"James Conner",ARI,"RB23","25","99","69.4","13.7","-8"
"71",7,"Rachaad White",TB,"RB24","41","99","72.2","14.3","-8"
"72",7,"Jahan Dotson",WAS,"WR35","47","112","73.8","11.3","+20"
"73",7,"Dallas Goedert",PHI,"TE6","51","106","74.4","9.1","-13"
"74",7,"Kyle Pitts",ATL,"TE7","48","106","74.7","12.8","-15"
"75",7,"Jordan Addison",MIN,"WR36","47","110","75.3","12.5","+16"
"76",7,"George Pickens",PIT,"WR37","42","110","76.1","11.9","+5"
"77",7,"Alvin Kamara",NO,"RB25","27","105","76.5","15.6","-20"
"78",7,"Jaxon Smith-Njigba",SEA,"WR38","44","111","78.1","14.9","+10"
"79",7,"Javonte Williams",DEN,"RB26","35","113","78.9","16.2","-4"
"80",7,"Brandin Cooks",DAL,"WR39","53","123","81.0","12.6","+14"
"81",7,"James Cook",BUF,"RB27","35","113","81.6","14.6","-3"
"82",7,"David Montgomery",DET,"RB28","54","110","82.7","11.1","+2"
"83",7,"Treylon Burks",TEN,"WR40","61","143","82.8","16.5","+12"
"84",7,"D'Andre Swift",PHI,"RB29","35","118","85.1","15.9","-16"
"85",7,"Gabe Davis",BUF,"WR41","61","134","85.9","15.2","+19"
"86",7,"Courtland Sutton",DEN,"WR42","60","123","86.6","15.1","+17"
"87",7,"JuJu Smith-Schuster",NE,"WR43","62","140","87.9","15.8","+15"
"88",7,"Isiah Pacheco",KC,"RB30","49","121","88.2","12.5","-14"
"89",7,"Deshaun Watson",CLE,"QB9","50","148","91.6","17.3","-19"
"90",7,"Michael Thomas",NO,"WR44","47","136","91.9","16.3","+6"
"91",7,"Dalvin Cook",NYJ,"RB31","38","320","90.5","35.4","-27"
"92",7,"Elijah Moore",CLE,"WR45","63","156","94.4","17.1","+51"
"93",7,"Quentin Johnston",LAC,"WR46","61","119","94.9","13.8","+24"
"94",8,"Antonio Gibson",WAS,"RB32","68","121","97.2","11.6","+14"
"95",8,"Dak Prescott",DAL,"QB10","55","133","98.4","14.0","-10"
